Country,Resource,Stocks and flows,CLASSE,Year,Unit,PowerCode,Value
Canada,Copper,Opening stock,A,2009,Tonnes,Millions,0.007
Australia,Copper,Discrepancies,AB,2017,Tonnes,Millions,0.3
Australia,Copper,Discrepancies,AB,2016,Tonnes,Millions,0.4
Australia,Copper,Discrepancies,AB,2015,Tonnes,Millions,-0.3
Australia,Copper,Discrepancies,AB,2014,Tonnes,Millions,-0.75
Australia,Copper,Discrepancies,AB,2013,Tonnes,Millions,1.95
Australia,Copper,Discrepancies,AB,2012,Tonnes,Millions,3.95
Australia,Copper,Extractions,AB,2007,Tonnes,Millions,0.9
Australia,Copper,Discrepancies,AB,2011,Tonnes,Millions,3.9
Australia,Copper,Discrepancies,AB,2009,Tonnes,Millions,8.1
United States,Copper,Discrepancies,A,2019,Tonnes,Millions,4.3
United States,Copper,Discrepancies,A,2018,Tonnes,Millions,4.2
United States,Copper,Discrepancies,A,2017,Tonnes,Millions,11.26
United States,Copper,Discrepancies,A,2016,Tonnes,Millions,3.43
United States,Copper,Discrepancies,A,2015,Tonnes,Millions,-0.64
United States,Copper,Discrepancies,A,2014,Tonnes,Millions,-2.64
United States,Copper,Discrepancies,A,2013,Tonnes,Millions,1.25
United States,Copper,Discrepancies,A,2012,Tonnes,Millions,5.17
Australia,Copper,Opening stock,AB,2007,Tonnes,Millions,46.4
Australia,Copper,Opening stock,AB,2006,Tonnes,Millions,41.85
Australia,Copper,Opening stock,AB,2005,Tonnes,Millions,41.45
Australia,Copper,Opening stock,AB,2004,Tonnes,Millions,38.8
Australia,Copper,Opening stock,AB,2003,Tonnes,Millions,32.5
Australia,Copper,Opening stock,AB,2002,Tonnes,Millions,26.35
Australia,Copper,Discrepancies,AB,2018,Tonnes,Millions,0.2
Australia,Copper,Opening stock,AB,2001,Tonnes,Millions,23.7
Australia,Copper,Extractions,AB,2004,Tonnes,Millions,0.85
Australia,Copper,Extractions,AB,2006,Tonnes,Millions,0.9
United States,Copper,Discrepancies,A,2009,Tonnes,Millions,1.18
Australia,Copper,Discrepancies,AB,2010,Tonnes,Millions,4.45
United States,Copper,Discrepancies,A,2010,Tonnes,Millions,1.11
United States,Copper,Discrepancies,A,2011,Tonnes,Millions,1.11
Australia,Copper,Opening stock,AB,2000,Tonnes,Millions,22.8
Australia,Copper,Discrepancies,AB,2019,Tonnes,Millions,0.45
Australia,Copper,Extractions,AB,2010,Tonnes,Millions,0.95
Australia,Copper,Extractions,AB,2009,Tonnes,Millions,0.9
Canada,Copper,Total reductions in stock,A,2009,Tonnes,Millions,0.0
Canada,Copper,Total reductions in stock,A,2010,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2011,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2012,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2013,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2012,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2008,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2010,Tonnes,Millions,0.001
Canada,Copper,Opening stock,A,2016,Tonnes,Millions,0.01
Canada,Copper,Opening stock,A,2007,Tonnes,Millions,0.007
Canada,Copper,Opening stock,A,2008,Tonnes,Millions,0.008
Canada,Copper,Opening stock,A,2010,Tonnes,Millions,0.007
Canada,Copper,Opening stock,A,2011,Tonnes,Millions,0.009
Canada,Copper,Opening stock,A,2012,Tonnes,Millions,0.011
Canada,Copper,Total reductions in stock,A,2015,Tonnes,Millions,0.001
Australia,Copper,Opening stock,AB,2008,Tonnes,Millions,59.75
Canada,Copper,Total reductions in stock,A,2007,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2011,Tonnes,Millions,0.001
Australia,Copper,Extractions,AB,2008,Tonnes,Millions,0.9
United States,Copper,Extractions,A,2013,Tonnes,Millions,1.25
United States,Copper,Opening stock,A,2010,Tonnes,Millions,35.0
United States,Copper,Extractions,A,2011,Tonnes,Millions,1.11
Canada,Copper,Total reductions in stock,A,2004,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2013,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2006,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2014,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2016,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2000,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2001,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2002,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2003,Tonnes,Millions,0.001
Canada,Copper,Total reductions in stock,A,2005,Tonnes,Millions,0.001
Canada,Copper,Extractions,A,2015,Tonnes,Millions,0.001
United States,Copper,Extractions,A,2012,Tonnes,Millions,1.17
Australia,Copper,Opening stock,AB,2010,Tonnes,Millions,81.05
Australia,Copper,Extractions,AB,2005,Tonnes,Millions,0.9
United States,Copper,Discrepancies,A,2001,Tonnes,Millions,1.34
United States,Copper,Discrepancies,A,2002,Tonnes,Millions,-8.86
United States,Copper,Discrepancies,A,2003,Tonnes,Millions,1.12
United States,Copper,Discrepancies,A,2004,Tonnes,Millions,1.16
United States,Copper,Closing stock,A,2017,Tonnes,Millions,45.0
United States,Copper,Closing stock,A,2002,Tonnes,Millions,35.0
United States,Copper,Discrepancies,A,2000,Tonnes,Millions,1.44
United States,Copper,Closing stock,A,2001,Tonnes,Millions,45.0
United States,Copper,Extractions,A,2014,Tonnes,Millions,1.36
United States,Copper,Extractions,A,2015,Tonnes,Millions,1.36
United States,Copper,Extractions,A,2016,Tonnes,Millions,1.43
United States,Copper,Extractions,A,2017,Tonnes,Millions,1.26
United States,Copper,Extractions,A,2018,Tonnes,Millions,1.2
United States,Copper,Extractions,A,2019,Tonnes,Millions,1.3
United States,Copper,Discrepancies,A,2007,Tonnes,Millions,1.17
United States,Copper,Total reductions in stock,A,2000,Tonnes,Millions,1.44
United States,Copper,Closing stock,A,2019,Tonnes,Millions,51.0
United States,Copper,Discrepancies,A,2005,Tonnes,Millions,1.14
United States,Copper,Closing stock,A,2010,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2004,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2005,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2006,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2007,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2008,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2018,Tonnes,Millions,48.0
United States,Copper,Closing stock,A,2009,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2012,Tonnes,Millions,39.0
United States,Copper,Closing stock,A,2013,Tonnes,Millions,39.0
United States,Copper,Closing stock,A,2014,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2015,Tonnes,Millions,33.0
United States,Copper,Closing stock,A,2003,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2016,Tonnes,Millions,35.0
United States,Copper,Closing stock,A,2011,Tonnes,Millions,35.0
Canada,Copper,Opening stock,A,2013,Tonnes,Millions,0.01
United States,Copper,Total reductions in stock,A,2001,Tonnes,Millions,1.34
United States,Copper,Total reductions in stock,A,2004,Tonnes,Millions,1.16
United States,Copper,Discrepancies,A,2008,Tonnes,Millions,1.31
Australia,Copper,Opening stock,AB,2012,Tonnes,Millions,87.5
Australia,Copper,Extractions,AB,2003,Tonnes,Millions,0.85
Australia,Copper,Extractions,AB,2002,Tonnes,Millions,0.9
Australia,Copper,Extractions,AB,2001,Tonnes,Millions,0.9
Australia,Copper,Extractions,AB,2000,Tonnes,Millions,0.85
Australia,Copper,Opening stock,AB,2009,Tonnes,Millions,73.85
Australia,Copper,Opening stock,AB,2019,Tonnes,Millions,86.65
Australia,Copper,Opening stock,AB,2017,Tonnes,Millions,87.95
Australia,Copper,Opening stock,AB,2016,Tonnes,Millions,88.45
Australia,Copper,Opening stock,AB,2015,Tonnes,Millions,89.7
Australia,Copper,Opening stock,AB,2014,Tonnes,Millions,91.45
Australia,Copper,Opening stock,AB,2013,Tonnes,Millions,90.5
Australia,Copper,Opening stock,AB,2011,Tonnes,Millions,84.55
Australia,Copper,Opening stock,AB,2018,Tonnes,Millions,87.35
United States,Copper,Total reductions in stock,A,2002,Tonnes,Millions,1.14
United States,Copper,Discrepancies,A,2006,Tonnes,Millions,1.2
United States,Copper,Total reductions in stock,A,2019,Tonnes,Millions,1.3
United States,Copper,Total reductions in stock,A,2005,Tonnes,Millions,1.14
United States,Copper,Total reductions in stock,A,2006,Tonnes,Millions,1.2
United States,Copper,Total reductions in stock,A,2007,Tonnes,Millions,1.17
United States,Copper,Total reductions in stock,A,2008,Tonnes,Millions,1.31
United States,Copper,Total reductions in stock,A,2009,Tonnes,Millions,1.18
United States,Copper,Total reductions in stock,A,2010,Tonnes,Millions,1.11
United States,Copper,Closing stock,A,2000,Tonnes,Millions,45.0
United States,Copper,Total reductions in stock,A,2011,Tonnes,Millions,1.11
United States,Copper,Total reductions in stock,A,2013,Tonnes,Millions,1.25
United States,Copper,Total reductions in stock,A,2014,Tonnes,Millions,1.36
United States,Copper,Total reductions in stock,A,2015,Tonnes,Millions,1.36
