Country,Resource,Stocks and flows,CLASSE,PowerCode,Unit,Year,Value
0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.007
1.0,0.0,1.0,1.0,0.0,0.0,2017.0,0.3
1.0,0.0,1.0,1.0,0.0,0.0,2016.0,0.4
1.0,0.0,1.0,1.0,0.0,0.0,2015.0,-0.3
1.0,0.0,1.0,1.0,0.0,0.0,2014.0,-0.75
1.0,0.0,1.0,1.0,0.0,0.0,2013.0,1.95
1.0,0.0,1.0,1.0,0.0,0.0,2012.0,3.95
1.0,0.0,2.0,1.0,0.0,0.0,2007.0,0.9
1.0,0.0,1.0,1.0,0.0,0.0,2011.0,3.9
1.0,0.0,1.0,1.0,0.0,0.0,2009.0,8.1
2.0,0.0,1.0,0.0,0.0,0.0,2019.0,4.3
2.0,0.0,1.0,0.0,0.0,0.0,2018.0,4.2
2.0,0.0,1.0,0.0,0.0,0.0,2017.0,11.26
2.0,0.0,1.0,0.0,0.0,0.0,2016.0,3.43
2.0,0.0,1.0,0.0,0.0,0.0,2015.0,-0.64
2.0,0.0,1.0,0.0,0.0,0.0,2014.0,-2.64
2.0,0.0,1.0,0.0,0.0,0.0,2013.0,1.25
2.0,0.0,1.0,0.0,0.0,0.0,2012.0,5.17
1.0,0.0,0.0,1.0,0.0,0.0,2007.0,46.4
1.0,0.0,0.0,1.0,0.0,0.0,2006.0,41.85
1.0,0.0,0.0,1.0,0.0,0.0,2005.0,41.45
1.0,0.0,0.0,1.0,0.0,0.0,2004.0,38.8
1.0,0.0,0.0,1.0,0.0,0.0,2003.0,32.5
1.0,0.0,0.0,1.0,0.0,0.0,2002.0,26.35
1.0,0.0,1.0,1.0,0.0,0.0,2018.0,0.2
1.0,0.0,0.0,1.0,0.0,0.0,2001.0,23.7
1.0,0.0,2.0,1.0,0.0,0.0,2004.0,0.85
1.0,0.0,2.0,1.0,0.0,0.0,2006.0,0.9
2.0,0.0,1.0,0.0,0.0,0.0,2009.0,1.18
1.0,0.0,1.0,1.0,0.0,0.0,2010.0,4.45
2.0,0.0,1.0,0.0,0.0,0.0,2010.0,1.11
2.0,0.0,1.0,0.0,0.0,0.0,2011.0,1.11
1.0,0.0,0.0,1.0,0.0,0.0,2000.0,22.8
1.0,0.0,1.0,1.0,0.0,0.0,2019.0,0.45
1.0,0.0,2.0,1.0,0.0,0.0,2010.0,0.95
1.0,0.0,2.0,1.0,0.0,0.0,2009.0,0.9
0.0,0.0,3.0,0.0,0.0,0.0,2009.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,2010.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2011.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2012.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2013.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2012.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2008.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2010.0,0.001
0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.01
0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.007
0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.008
0.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.007
0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.009
0.0,0.0,0.0,0.0,0.0,0.0,2012.0,0.011
0.0,0.0,3.0,0.0,0.0,0.0,2015.0,0.001
1.0,0.0,0.0,1.0,0.0,0.0,2008.0,59.75
0.0,0.0,3.0,0.0,0.0,0.0,2007.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2011.0,0.001
1.0,0.0,2.0,1.0,0.0,0.0,2008.0,0.9
2.0,0.0,2.0,0.0,0.0,0.0,2013.0,1.25
2.0,0.0,0.0,0.0,0.0,0.0,2010.0,35.0
2.0,0.0,2.0,0.0,0.0,0.0,2011.0,1.11
0.0,0.0,3.0,0.0,0.0,0.0,2004.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2013.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2006.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2014.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2016.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2000.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2001.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2002.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2003.0,0.001
0.0,0.0,3.0,0.0,0.0,0.0,2005.0,0.001
0.0,0.0,2.0,0.0,0.0,0.0,2015.0,0.001
2.0,0.0,2.0,0.0,0.0,0.0,2012.0,1.17
1.0,0.0,0.0,1.0,0.0,0.0,2010.0,81.05
1.0,0.0,2.0,1.0,0.0,0.0,2005.0,0.9
2.0,0.0,1.0,0.0,0.0,0.0,2001.0,1.34
2.0,0.0,1.0,0.0,0.0,0.0,2002.0,-8.86
2.0,0.0,1.0,0.0,0.0,0.0,2003.0,1.12
2.0,0.0,1.0,0.0,0.0,0.0,2004.0,1.16
2.0,0.0,4.0,0.0,0.0,0.0,2017.0,45.0
2.0,0.0,4.0,0.0,0.0,0.0,2002.0,35.0
2.0,0.0,1.0,0.0,0.0,0.0,2000.0,1.44
2.0,0.0,4.0,0.0,0.0,0.0,2001.0,45.0
2.0,0.0,2.0,0.0,0.0,0.0,2014.0,1.36
2.0,0.0,2.0,0.0,0.0,0.0,2015.0,1.36
2.0,0.0,2.0,0.0,0.0,0.0,2016.0,1.43
2.0,0.0,2.0,0.0,0.0,0.0,2017.0,1.26
2.0,0.0,2.0,0.0,0.0,0.0,2018.0,1.2
2.0,0.0,2.0,0.0,0.0,0.0,2019.0,1.3
2.0,0.0,1.0,0.0,0.0,0.0,2007.0,1.17
2.0,0.0,3.0,0.0,0.0,0.0,2000.0,1.44
2.0,0.0,4.0,0.0,0.0,0.0,2019.0,51.0
2.0,0.0,1.0,0.0,0.0,0.0,2005.0,1.14
2.0,0.0,4.0,0.0,0.0,0.0,2010.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2004.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2005.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2006.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2007.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2008.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2018.0,48.0
2.0,0.0,4.0,0.0,0.0,0.0,2009.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2012.0,39.0
2.0,0.0,4.0,0.0,0.0,0.0,2013.0,39.0
2.0,0.0,4.0,0.0,0.0,0.0,2014.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2015.0,33.0
2.0,0.0,4.0,0.0,0.0,0.0,2003.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2016.0,35.0
2.0,0.0,4.0,0.0,0.0,0.0,2011.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.01
2.0,0.0,3.0,0.0,0.0,0.0,2001.0,1.34
2.0,0.0,3.0,0.0,0.0,0.0,2004.0,1.16
2.0,0.0,1.0,0.0,0.0,0.0,2008.0,1.31
1.0,0.0,0.0,1.0,0.0,0.0,2012.0,87.5
1.0,0.0,2.0,1.0,0.0,0.0,2003.0,0.85
1.0,0.0,2.0,1.0,0.0,0.0,2002.0,0.9
1.0,0.0,2.0,1.0,0.0,0.0,2001.0,0.9
1.0,0.0,2.0,1.0,0.0,0.0,2000.0,0.85
1.0,0.0,0.0,1.0,0.0,0.0,2009.0,73.85
1.0,0.0,0.0,1.0,0.0,0.0,2019.0,86.65
1.0,0.0,0.0,1.0,0.0,0.0,2017.0,87.95
1.0,0.0,0.0,1.0,0.0,0.0,2016.0,88.45
1.0,0.0,0.0,1.0,0.0,0.0,2015.0,89.7
1.0,0.0,0.0,1.0,0.0,0.0,2014.0,91.45
1.0,0.0,0.0,1.0,0.0,0.0,2013.0,90.5
1.0,0.0,0.0,1.0,0.0,0.0,2011.0,84.55
1.0,0.0,0.0,1.0,0.0,0.0,2018.0,87.35
2.0,0.0,3.0,0.0,0.0,0.0,2002.0,1.14
2.0,0.0,1.0,0.0,0.0,0.0,2006.0,1.2
2.0,0.0,3.0,0.0,0.0,0.0,2019.0,1.3
2.0,0.0,3.0,0.0,0.0,0.0,2005.0,1.14
2.0,0.0,3.0,0.0,0.0,0.0,2006.0,1.2
2.0,0.0,3.0,0.0,0.0,0.0,2007.0,1.17
2.0,0.0,3.0,0.0,0.0,0.0,2008.0,1.31
2.0,0.0,3.0,0.0,0.0,0.0,2009.0,1.18
2.0,0.0,3.0,0.0,0.0,0.0,2010.0,1.11
2.0,0.0,4.0,0.0,0.0,0.0,2000.0,45.0
2.0,0.0,3.0,0.0,0.0,0.0,2011.0,1.11
2.0,0.0,3.0,0.0,0.0,0.0,2013.0,1.25
2.0,0.0,3.0,0.0,0.0,0.0,2014.0,1.36
2.0,0.0,3.0,0.0,0.0,0.0,2015.0,1.36
2.0,0.0,3.0,0.0,0.0,0.0,2016.0,1.43
2.0,0.0,3.0,0.0,0.0,0.0,2017.0,1.26
2.0,0.0,3.0,0.0,0.0,0.0,2018.0,1.2
2.0,0.0,3.0,0.0,0.0,0.0,2012.0,1.17
0.0,0.0,0.0,0.0,0.0,0.0,2014.0,0.011
2.0,0.0,3.0,0.0,0.0,0.0,2003.0,1.12
0.0,0.0,2.0,0.0,0.0,0.0,2000.0,0.001
2.0,0.0,0.0,0.0,0.0,0.0,2018.0,45.0
2.0,0.0,0.0,0.0,0.0,0.0,2017.0,35.0
2.0,0.0,0.0,0.0,0.0,0.0,2016.0,33.0
2.0,0.0,0.0,0.0,0.0,0.0,2015.0,35.0
2.0,0.0,0.0,0.0,0.0,0.0,2014.0,39.0
2.0,0.0,0.0,0.0,0.0,0.0,2013.0,39.0
2.0,0.0,0.0,0.0,0.0,0.0,2019.0,48.0
2.0,0.0,0.0,0.0,0.0,0.0,2012.0,35.0
1.0,0.0,4.0,1.0,0.0,0.0,2016.0,87.95
1.0,0.0,4.0,1.0,0.0,0.0,2015.0,88.45
1.0,0.0,3.0,1.0,0.0,0.0,2004.0,0.85
1.0,0.0,3.0,1.0,0.0,0.0,2012.0,0.95
1.0,0.0,3.0,1.0,0.0,0.0,2011.0,0.95
1.0,0.0,3.0,1.0,0.0,0.0,2010.0,0.95
1.0,0.0,4.0,1.0,0.0,0.0,2017.0,87.35
1.0,0.0,3.0,1.0,0.0,0.0,2009.0,0.9
2.0,0.0,0.0,0.0,0.0,0.0,2011.0,35.0
2.0,0.0,2.0,0.0,0.0,0.0,2002.0,1.14
1.0,0.0,1.0,1.0,0.0,0.0,2000.0,1.75
1.0,0.0,4.0,1.0,0.0,0.0,2019.0,86.2
1.0,0.0,4.0,1.0,0.0,0.0,2018.0,86.65
2.0,0.0,0.0,0.0,0.0,0.0,2007.0,35.0
2.0,0.0,0.0,0.0,0.0,0.0,2009.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,2003.0,0.007
2.0,0.0,2.0,0.0,0.0,0.0,2000.0,1.44
2.0,0.0,2.0,0.0,0.0,0.0,2001.0,1.34
2.0,0.0,2.0,0.0,0.0,0.0,2008.0,1.31
2.0,0.0,2.0,0.0,0.0,0.0,2007.0,1.17
2.0,0.0,2.0,0.0,0.0,0.0,2006.0,1.2
2.0,0.0,2.0,0.0,0.0,0.0,2005.0,1.14
2.0,0.0,2.0,0.0,0.0,0.0,2004.0,1.16
2.0,0.0,2.0,0.0,0.0,0.0,2003.0,1.12
2.0,0.0,2.0,0.0,0.0,0.0,2009.0,1.18
